Item ID,Item Name,Item Number
-1,reg_time,2024-12-14 13:23:01
item-10,Dummy Core,0
item-31,Basic Training Data,70
item-32,Intermediate Training Data,0
item-33,Advanced Training Data,0
-1,kalina_level,0
-1,kalina_favor,0
furniture-10100,Dusty Workbench,0
furniture-10200,Dusty Cat Bed,0
furniture-10300,Dusty Doghouse,0
furniture-10400,Dust-Covered Bird Stand,0
furniture-10500,Dusty Multifunctional Cage,0
furniture-20100,Dusty Desk,0
furniture-20200,Dusty Console,0
furniture-20300,Dusty Operating Station,0
furniture-20400,Dusty Data Table,0
furniture-20500,Dusty Computer,0
furniture-20600,Dusty Fax Machine,0
furniture-20700,Bookshelf of Memories,0
furniture-30100,Barren Valley,0
furniture-30200,Dusty Railway Model,0
furniture-30300,Warehouse Model Foundation,0
furniture-30400,Blank Weather System,0
furniture-40009,Luffberry chess,0
furniture-40023,Cafe Bar Coffee Machine,0
furniture-40024,Gramophone,0
furniture-40026,Notebook,0
furniture-40027,Projector,0
furniture-40028,Comic Stand,0
furniture-50100,Dusty Listening Post,0
furniture-50300,Dusty Storage Equipment,0
furniture-50500,Futuristic Search Terminal,0
furniture-60300,Integrated Indoor Training Range,0
furniture-80007,Real Time Relay Terminal,0
furniture-80011,Black Market Shop,0
furniture-80100,Dusty Gate Console,0
furniture-80300,Elementary Loot Rack,0
furniture-90100,Impulse Reactor,0
furniture-90200,Tactical Chip Research Station,0
furniture-90400,Symmetric Infusion Drive,0
furniture-100100,Workstation,0
furniture-100200,Energy Generator,0
furniture-100300,Research Station,0
furniture-100400,Component Storage,0
furniture-100500,Armor Range,0
furniture-100600,Mobile Armor Platform,0
furniture-100700,Mobile Armor,0
